date,product,region,units_sold,unit_price,discount_pct,revenue
2024-02-24,Tablet,North,48,249,5.0,11354.4
2024-02-25,Watch,East,19,599,0.0,11381.0
2024-02-26,Watch,East,4,399,0.0,1596.0
2024-02-27,Laptop,South,35,249,0.0,8715.0
2024-02-28,Tablet,West,49,999,20.0,39160.8
2024-02-29,Laptop,East,17,999,10.0,15284.7
2024-03-01,Tablet,North,44,249,,10956.0
2024-03-02,Tablet,South,28,399,10.0,10054.800000000001
2024-03-03,Laptop,North,30,599,15.0,15274.5
2024-03-04,Laptop,North,29,599,5.0,16502.45
2024-03-05,Tablet,East,46,999,15.0,39060.9
2024-03-06,Phone,South,6,399,15.0,2034.8999999999999
2024-03-07,Watch,West,35,599,20.0,16772.0
2024-03-08,Laptop,West,41,399,5.0,15541.05
2024-03-09,Watch,East,37,399,15.0,12548.55
2024-03-10,Phone,East,24,999,15.0,20379.6
2024-03-11,Phone,South,29,599,5.0,16502.45
2024-03-12,Phone,West,49,249,5.0,11590.949999999999
2024-03-13,Laptop,West,46,999,15.0,39060.9
2024-03-14,Phone,West,31,599,5.0,17640.55
2024-03-15,Laptop,North,35,599,15.0,17820.25
2024-03-16,Phone,West,33,599,15.0,16801.95
2024-03-17,Watch,North,21,599,20.0,10063.2
2024-03-18,Watch,South,32,599,0.0,19168.0
2024-03-19,Tablet,North,23,399,15.0,7800.45
2024-03-20,Watch,South,33,999,10.0,29670.3
2024-03-21,Tablet,West,3,399,0.0,1197.0
2024-03-22,Watch,West,18,249,0.0,4482.0
2024-03-23,Laptop,South,25,599,0.0,14975.0
2024-03-24,Watch,East,42,999,20.0,33566.4
2024-03-25,Tablet,South,31,599,15.0,15783.65
2024-03-26,Tablet,East,3,999,20.0,2397.6
2024-03-27,Phone,North,40,399,15.0,13566.0
2024-03-28,Laptop,North,46,999,20.0,36763.200000000004
2024-03-29,Watch,North,24,249,20.0,4780.8
2024-03-30,Phone,West,32,249,10.0,7171.2
2024-03-31,Watch,North,47,999,20.0,37562.4
2024-04-01,Watch,East,22,999,5.0,20879.1
2024-04-02,Phone,North,23,999,,20679.3
2024-04-03,Phone,South,2,999,20.0,1598.4
2024-04-04,Phone,South,27,249,0.0,6723.0
2024-04-05,Phone,West,42,599,,23900.1
2024-04-06,Phone,South,2,999,5.0,1898.1
2024-04-07,Watch,East,26,999,5.0,24675.3
2024-04-08,Phone,North,17,249,10.0,3809.7000000000003
2024-04-09,Laptop,West,40,249,20.0,7968.0
2024-04-10,Tablet,North,33,399,20.0,10533.6
2024-04-11,Phone,North,9,999,0.0,8991.0
2024-04-12,Phone,East,43,399,0.0,17157.0
2024-04-13,Watch,South,48,249,5.0,11354.4
2024-04-14,Phone,South,39,249,0.0,9711.0
2024-04-15,Phone,North,29,599,10.0,15633.9
2024-04-16,Phone,West,42,999,20.0,33566.4
2024-04-17,Watch,South,26,399,5.0,9855.3
2024-04-18,Phone,West,35,249,0.0,8715.0
2024-04-19,Tablet,South,25,249,10.0,5602.5
2024-04-20,Watch,West,24,399,10.0,8618.4
2024-04-21,Tablet,East,13,599,0.0,7787.0
2024-04-22,Watch,West,7,249,20.0,1394.4
2024-04-23,Phone,East,36,999,0.0,35964.0
2024-04-24,Tablet,East,45,249,5.0,10644.75
2024-04-25,Watch,West,20,999,0.0,19980.0
2024-04-26,Laptop,East,1,399,10.0,359.1
2024-04-27,Phone,North,8,999,0.0,7992.0
2024-04-28,Watch,East,46,399,20.0,14683.2
2024-04-29,Laptop,South,16,999,15.0,13586.4
2024-04-30,Watch,West,14,399,0.0,5586.0
2024-05-01,Laptop,North,12,999,,9590.4
2024-05-02,Phone,West,23,599,20.0,11021.6
2024-05-03,Tablet,South,15,999,10.0,13486.5
2024-05-04,Laptop,South,28,999,20.0,22377.600000000002
2024-05-05,Watch,South,34,599,20.0,16292.800000000001
2024-05-06,Phone,East,2,249,20.0,398.40000000000003
2024-05-07,Laptop,East,32,249,20.0,6374.400000000001
2024-05-08,Watch,West,23,999,5.0,21828.149999999998
2024-05-09,Watch,West,22,599,5.0,12519.099999999999
2024-05-10,Watch,North,25,999,10.0,22477.5
2024-05-11,Laptop,North,22,399,0.0,8778.0
2024-05-12,Laptop,West,22,399,20.0,7022.400000000001
2024-05-13,Laptop,East,49,999,0.0,48951.0
2024-05-14,Tablet,South,42,249,0.0,10458.0
2024-05-15,Laptop,West,6,249,10.0,1344.6000000000001
2024-05-16,Laptop,North,15,999,20.0,11988.0
2024-05-17,Laptop,East,43,999,20.0,34365.6
2024-05-18,Tablet,West,37,399,15.0,12548.55
2024-05-19,Laptop,West,33,249,0.0,8217.0
2024-05-20,Watch,East,8,999,0.0,7992.0
2024-05-21,Laptop,West,44,399,5.0,16678.2
2024-05-22,Watch,East,44,249,15.0,9312.6
2024-05-23,Watch,South,5,599,5.0,2845.25
2024-05-24,Watch,East,39,399,5.0,14782.949999999999
2024-05-25,Tablet,East,4,249,5.0,946.1999999999999
2024-05-26,Tablet,East,6,249,,1344.6000000000001
2024-05-27,Tablet,West,45,399,10.0,16159.5
2024-05-28,Laptop,West,32,599,5.0,18209.6
2024-05-29,Watch,East,30,399,15.0,10174.5
2024-05-30,Tablet,West,47,249,0.0,11703.0
2024-05-31,Tablet,North,35,999,15.0,29720.25
2024-06-01,Laptop,North,40,999,20.0,31968.0
2024-06-02,Tablet,West,16,399,10.0,5745.6
2024-06-03,Laptop,West,13,249,,3237.0
2024-06-04,Phone,East,42,999,0.0,41958.0
2024-06-05,Tablet,South,30,249,20.0,5976.0
2024-06-06,Phone,West,19,399,20.0,6064.8
2024-06-07,Laptop,North,17,999,5.0,16133.849999999999
2024-06-08,Watch,East,19,249,,4257.900000000001
2024-06-09,Tablet,West,28,999,10.0,25174.8
2024-06-10,Laptop,North,26,399,15.0,8817.9
2024-06-11,Watch,North,37,249,5.0,8752.35
2024-06-12,Watch,South,26,999,5.0,24675.3
2024-06-13,Phone,East,23,399,5.0,8718.15
2024-06-14,Laptop,East,9,999,5.0,8541.449999999999
2024-06-15,Watch,South,12,999,10.0,10789.2
2024-06-16,Tablet,South,1,599,10.0,539.1
2024-06-17,Tablet,East,1,599,5.0,569.05
2024-06-18,Phone,East,47,399,15.0,15940.05
2024-06-19,Watch,West,34,599,0.0,20366.0
2024-06-20,Laptop,West,32,399,0.0,12768.0
2024-06-21,Tablet,South,48,599,15.0,24439.2
2024-06-22,Watch,West,25,999,5.0,23726.25
2024-06-23,Watch,North,40,399,10.0,14364.0
2024-06-24,Phone,West,45,399,0.0,17955.0
2024-06-25,Tablet,West,1,999,20.0,799.2
2024-06-26,Tablet,North,16,399,,5107.200000000001
2024-06-27,Laptop,South,39,399,15.0,13226.85
2024-06-28,Tablet,North,5,599,5.0,2845.25
2024-06-29,Laptop,West,22,399,0.0,8778.0
2024-06-30,Tablet,South,29,249,5.0,6859.95
2024-07-01,Phone,West,3,999,0.0,2997.0
2024-07-02,Tablet,North,12,599,15.0,6109.8
2024-07-03,Laptop,North,26,599,15.0,13237.9
2024-07-04,Laptop,West,16,249,20.0,3187.2000000000003
2024-07-05,Phone,East,37,999,5.0,35114.85
2024-07-06,Tablet,East,22,999,20.0,17582.4
2024-07-07,Tablet,North,29,599,5.0,16502.45
2024-07-08,Phone,North,14,399,20.0,4468.8
2024-07-09,Tablet,East,28,599,10.0,15094.800000000001
2024-07-10,Tablet,East,5,999,10.0,4495.5
2024-07-11,Laptop,West,47,249,10.0,10532.7
2024-07-12,Tablet,West,49,599,10.0,26415.9
2024-07-13,Tablet,East,30,999,,29970.0
2024-07-14,Phone,West,46,599,10.0,24798.600000000002
2024-07-15,Phone,West,5,399,15.0,1695.75
2024-07-16,Watch,South,12,599,15.0,6109.8
2024-07-17,Laptop,West,16,599,0.0,9584.0
2024-07-18,Tablet,North,26,999,10.0,23376.600000000002
